side,firstblood,firstdragon,void_grubs,opp_void_grubs,firsttower,turretplates,opp_turretplates,golddiffat10,xpdiffat10,killsat10,opp_killsat10,golddiffat15,xpdiffat15,killsat15,opp_killsat15,result
1,0,1,3,0,1,4,2,-984,123,0,1,-1048,402,0,1,0
0,1,0,0,3,0,2,4,984,-123,1,0,1048,-402,1,0,1
1,1,0,4,0,0,1,5,281,150,2,2,-256,-274,4,5,0
0,0,1,0,4,1,5,1,-281,-150,2,2,256,274,5,4,1
1,1,0,1,5,1,9,3,197,298,5,6,-169,-714,6,9,0
0,0,1,5,1,0,3,9,-197,-298,6,5,169,714,9,6,1
1,0,1,3,2,1,5,5,-282,226,0,1,-1744,-1677,0,5,0
0,1,0,2,3,0,5,5,282,-226,1,0,1744,1677,5,0,1
1,0,1,1,5,0,3,2,-1263,-606,0,3,-1838,-737,0,4,0
0,1,0,5,1,1,2,3,1263,606,3,0,1838,737,4,0,1
1,1,0,5,1,1,13,0,5249,2645,5,0,9921,4695,10,1,1
0,0,1,1,5,0,0,13,-5249,-2645,0,5,-9921,-4695,1,10,0
1,0,0,2,4,0,1,2,-748,-732,1,1,-962,-726,8,7,1
0,1,1,4,2,1,2,1,748,732,1,1,962,726,7,8,0
1,0,0,3,3,0,1,4,-2453,-1526,0,3,-2285,-588,1,4,1
0,1,1,3,3,1,4,1,2453,1526,3,0,2285,588,4,1,0
1,0,1,3,3,1,4,3,1524,332,4,2,2234,559,7,3,1
0,1,0,3,3,0,3,4,-1524,-332,2,4,-2234,-559,3,7,0
1,0,0,3,3,1,5,3,-806,-468,2,3,400,791,2,4,1
0,1,1,3,3,0,3,5,806,468,3,2,-400,-791,4,2,0
1,0,1,6,0,1,7,6,464,312,3,3,1276,-1342,7,6,0
0,1,0,0,6,0,6,7,-464,-312,3,3,-1276,1342,6,7,1
1,1,1,5,1,0,3,5,638,-209,1,0,2150,2718,7,1,1
0,0,0,1,5,1,5,3,-638,209,0,1,-2150,-2718,1,7,0
1,1,0,5,1,1,6,2,824,348,2,1,3284,841,5,2,1
